policy,rrs_mode,m_budget_mb,bw_gbps,epsilon,epsilon_abs,epsilon_norm,token_ref,requests,ttft_p50_ms,ttft_p95_ms,ttft_mean_ms,hit_rate,resident_hit_rate,offload_hit_rate,recompute_ratio,restore_ratio,qloss_current,qloss_peak,qloss_current_abs,qloss_peak_abs,qloss_current_norm,qloss_peak_norm,memory_peak_mb,migrations,evictions,offloads,drops,epsilon_ok,experiment,lpe_label
lru,rrs,3000.0,8.0,4.0,4.0,5.5e-05,72733,450,13.8,216.96,67.1952,0.344444,0.344444,0.0,0.655556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,306,0,306,True,H1,lru
lfu,rrs,3000.0,8.0,4.0,4.0,5.5e-05,72733,450,9.12,217.95,67.1912,0.437778,0.437778,0.0,0.562222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,260,0,260,True,H1,lfu
score,rrs,3000.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,170.4,35.507467,0.4,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2999.88,0,291,0,291,True,H1,LPE-score
tiered,rrs,3000.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,170.4,34.676267,0.444444,0.444444,0.0,0.555556,0.0,3.972,3.972,3.972,3.972,5.5e-05,5.5e-05,2999.52,5,268,0,268,True,H1,tiered
lru,rrs,3400.0,8.0,4.0,4.0,5.5e-05,72733,450,9.12,214.08,60.528533,0.422222,0.422222,0.0,0.577778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.36,0,266,0,266,True,H1,lru
lfu,rrs,3400.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,215.664,62.3784,0.475556,0.475556,0.0,0.524444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.84,0,241,0,241,True,H1,lfu
score,rrs,3400.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,162.0,31.403467,0.524444,0.524444,0.0,0.475556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399.96,0,233,0,233,True,H1,LPE-score
tiered,rrs,3400.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,166.89,33.451733,0.462222,0.462222,0.0,0.537778,0.0,3.972,3.972,3.972,3.972,5.5e-05,5.5e-05,3399.72,5,256,0,256,True,H1,tiered
lru,rrs,3800.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,212.4,48.105333,0.535556,0.535556,0.0,0.464444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.68,0,199,0,199,True,H1,lru
lfu,rrs,3800.0,8.0,4.0,4.0,5.5e-05,72733,450,5.76,214.08,59.553067,0.515556,0.515556,0.0,0.484444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.8,0,218,0,218,True,H1,lfu
score,rrs,3800.0,8.0,4.0,4.0,5.5e-05,72733,450,4.86,162.0,30.927467,0.564444,0.564444,0.0,0.435556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3799.8,0,213,0,213,True,H1,LPE-score
tiered,rrs,3800.0,8.0,4.0,4.0,5.5e-05,72733,450,3.72,162.0,30.248267,0.577778,0.577778,0.0,0.422222,0.0,3.972,3.972,3.972,3.972,5.5e-05,5.5e-05,3799.2,5,202,0,202,True,H1,tiered
