experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,dominant_q_offline,dominant_q_pred,kendall_tau,agreement_ratio
H5,0.5,36.3665,0.0005,72733,int4,full,1.0,0.272727
H5,0.5,72.733,0.001,72733,sparse_k,int4,1.0,0.25
H5,0.5,145.466,0.002,72733,sparse_k,int4,1.0,0.318182
H5,0.5,290.932,0.004,72733,sparse_k,int4,1.0,0.329545
H5,0.5,581.864,0.008,72733,sparse_k,int4,1.0,0.363636
H5,1.0,36.3665,0.0005,72733,int4,int8,1.0,0.375
H5,1.0,72.733,0.001,72733,int4,int8,1.0,0.193182
H5,1.0,145.466,0.002,72733,sparse_k,int8,1.0,0.238636
H5,1.0,290.932,0.004,72733,sparse_k,int4,1.0,0.25
H5,1.0,581.864,0.008,72733,sparse_k,int4,1.0,0.318182
H5,2.0,36.3665,0.0005,72733,int8,int8,1.0,0.238636
H5,2.0,72.733,0.001,72733,int4,int8,1.0,0.238636
H5,2.0,145.466,0.002,72733,int4,int8,1.0,0.159091
H5,2.0,290.932,0.004,72733,sparse_k,int8,1.0,0.193182
H5,2.0,581.864,0.008,72733,sparse_k,int8,1.0,0.238636
H5,4.0,36.3665,0.0005,72733,int8,full,1.0,0.147727
H5,4.0,72.733,0.001,72733,int8,full,1.0,0.125
H5,4.0,145.466,0.002,72733,int4,int8,1.0,0.0
H5,4.0,290.932,0.004,72733,int4,int8,1.0,0.147727
H5,4.0,581.864,0.008,72733,sparse_k,int8,1.0,0.159091
H5,8.0,36.3665,0.0005,72733,int8,full,1.0,0.545455
H5,8.0,72.733,0.001,72733,int8,full,1.0,0.045455
H5,8.0,145.466,0.002,72733,int8,full,1.0,0.0
H5,8.0,290.932,0.004,72733,int4,full,1.0,0.0
H5,8.0,581.864,0.008,72733,int4,int8,1.0,0.0
H5,16.0,36.3665,0.0005,72733,full,full,1.0,0.636364
H5,16.0,72.733,0.001,72733,int8,full,1.0,0.375
H5,16.0,145.466,0.002,72733,int8,full,1.0,0.0
H5,16.0,290.932,0.004,72733,int8,full,1.0,0.0
H5,16.0,581.864,0.008,72733,int4,full,1.0,0.0
H5,32.0,36.3665,0.0005,72733,full,full,1.0,0.875
H5,32.0,72.733,0.001,72733,full,full,1.0,0.625
H5,32.0,145.466,0.002,72733,int8,full,1.0,0.318182
H5,32.0,290.932,0.004,72733,int8,full,1.0,0.0
H5,32.0,581.864,0.008,72733,int8,full,1.0,0.0
