experiment,bw_gbps,epsilon_abs,epsilon_norm,token_ref,dominant_q_offline,dominant_q_pred,kendall_tau,agreement_ratio,phase_boundary_cell,agreement_note
H5,0.5,3.243,0.0005,6486,int4,int4,0.111111,0.666667,False,prediction_mismatch
H5,0.5,6.486,0.001,6486,int4,int4,1.0,0.614035,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,0.5,12.972,0.002,6486,sparse_k,int4,1.0,0.315789,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,0.5,25.944,0.004,6486,sparse_k,int4,1.0,0.368421,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,0.5,51.888,0.008,6486,sparse_k,sparse_k,1.0,0.578947,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,1.0,3.243,0.0005,6486,int4,int4,1.0,0.859649,True,prediction_aligned
H5,1.0,6.486,0.001,6486,int4,int4,1.0,0.666667,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,1.0,12.972,0.002,6486,int4,int4,1.0,0.631579,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,1.0,25.944,0.004,6486,sparse_k,int4,1.0,0.350877,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,1.0,51.888,0.008,6486,sparse_k,int4,1.0,0.315789,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,2.0,3.243,0.0005,6486,int8,int8,1.0,0.964912,True,prediction_aligned
H5,2.0,6.486,0.001,6486,int4,int8,1.0,0.701754,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,2.0,12.972,0.002,6486,int4,int4,1.0,0.45614,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,2.0,25.944,0.004,6486,int4,int4,1.0,0.403509,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,2.0,51.888,0.008,6486,sparse_k,int4,1.0,0.263158,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,4.0,3.243,0.0005,6486,int8,int8,1.0,1.0,True,prediction_aligned
H5,4.0,6.486,0.001,6486,int8,int8,1.0,0.842105,True,prediction_aligned
H5,4.0,12.972,0.002,6486,int4,int8,1.0,0.596491,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,4.0,25.944,0.004,6486,int4,int8,1.0,0.315789,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,4.0,51.888,0.008,6486,int4,int4,1.0,0.22807,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,8.0,3.243,0.0005,6486,full,full,1.0,0.982456,True,prediction_aligned
H5,8.0,6.486,0.001,6486,int8,int8,1.0,0.842105,True,prediction_aligned
H5,8.0,12.972,0.002,6486,int8,int8,1.0,0.719298,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,8.0,25.944,0.004,6486,int4,int8,1.0,0.508772,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,8.0,51.888,0.008,6486,int4,int8,1.0,0.140351,False,rank_order_stable_but_exact_tier_boundary_shifted
H5,16.0,3.243,0.0005,6486,full,full,1.0,0.982456,False,prediction_aligned
H5,16.0,6.486,0.001,6486,full,full,1.0,0.859649,True,prediction_aligned
H5,16.0,12.972,0.002,6486,int8,int8,1.0,0.596491,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,16.0,25.944,0.004,6486,int8,int8,1.0,0.508772,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,16.0,51.888,0.008,6486,int4,int8,1.0,0.403509,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,32.0,3.243,0.0005,6486,full,full,1.0,1.0,False,prediction_aligned
H5,32.0,6.486,0.001,6486,full,full,1.0,0.894737,False,prediction_aligned
H5,32.0,12.972,0.002,6486,full,full,1.0,0.736842,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,32.0,25.944,0.004,6486,int8,full,1.0,0.421053,True,rank_order_stable_but_exact_tier_boundary_shifted
H5,32.0,51.888,0.008,6486,int8,int8,1.0,0.263158,True,rank_order_stable_but_exact_tier_boundary_shifted
